date_month,quant_sell,customer_id
2014-01,447,591414
2014-01,103,591405
2014-01,142,591300
2014-01,494,591407
2014-01,124,591460
2014-01,176,591410
2014-01,67,591487
2014-01,41,591412
2014-01,80,591541
2014-01,142,591282
2014-01,35,591449
2014-01,20,591436
2014-01,40,591476
2014-01,565,591416
2014-01,3,591537
2014-01,289,591418
2014-01,94,591302
2014-01,8,591311
2014-01,1151,591421
2014-01,2,591469
2014-01,279,591423
2014-01,80,591289
2014-01,42,591264
2014-01,124,591467
2014-01,360,591425
2014-01,304,591432
2014-01,96,591427
2014-01,59,591544
2014-01,1640,591438
2014-01,294,591280
2014-01,479,591403
2014-01,14,591269
2014-01,308,591454
2014-01,93,591447
2014-01,249,591535
2014-01,20,591379
2014-01,60,591295
2014-01,145,591539
2014-01,505,591381
2014-01,124,591533
2014-01,112,591273
2014-01,148,591383
2014-01,810,591385
2014-01,50,591456
2014-01,1206,591401
2014-01,127,591508
2014-01,1679,591388
2014-01,175,591390
2014-01,168,591500
2014-01,475,591399
2014-01,315,591396
2014-01,408,591291
2014-01,9,591443
2014-01,652,591394
2014-01,360,591297
2014-01,16,1159530
2014-01,1261,591392
2014-01,68,591429
2014-02,2026,591291
2014-02,947,591454
2014-02,513,591460
2014-02,1828,591289
2014-02,170,591458
2014-02,1184,591456
2014-02,65,591462
2014-02,102,591260
2014-02,186,591286
2014-02,46,591271
2014-02,216,591535
2014-02,1224,591533
2014-02,626,591273
2014-02,66,591511
2014-02,200,591508
2014-02,3198,591275
2014-02,192,591506
2014-02,45,591504
2014-02,598,591465
2014-02,90,591502
2014-02,7066,591280
2014-02,3,591498
2014-02,6,591495
2014-02,157,591487
2014-02,1774,591282
2014-02,160,591284
2014-02,110,591473
2014-02,68,591469
2014-02,105,591467
2014-02,619,591500
2014-02,70,591451
2014-02,816,591434
2014-02,90,591447
2014-02,40,591407
2014-02,130,591405
2014-02,165,591403
2014-02,261,591401
2014-02,682,591326
2014-02,45,591399
2014-02,73,591396
2014-02,195,591394
2014-02,272,591392
2014-02,154,591390
2014-02,200,591322
2014-02,422,591335
2014-02,346,591337
2014-02,374,591385
2014-02,78,591383
2014-02,90,591339
2014-02,81,591381
2014-02,275,591341
2014-02,100,591379
2014-02,5988,591370
2014-02,335,591355
2014-02,236,591361
2014-02,135,591388
2014-02,558,591293
2014-02,150,591410
2014-02,392,591319
2014-02,1932,591295
2014-02,1383,591445
2014-02,1,591443
2014-02,1454,591297
2014-02,582,591440
2014-02,363,591438
2014-02,615,591300
2014-02,184,591436
2014-02,465,591302
2014-02,136,591432
2014-02,52,591412
2014-02,518,591429
2014-02,616,591427
2014-02,384,591425
2014-02,196,591308
2014-02,105,591423
2014-02,75,591421
2014-02,1754,591311
2014-02,80,591418
2014-02,30,591416
2014-02,560,591313
2014-02,40,591414
2014-02,521,591304
2014-02,170,591537
2014-02,144,591359
2014-02,100,591262
2014-02,257,591544
2014-02,16,591267
2014-02,90,615248
2014-02,164,1159530
2014-02,339,591541
2014-02,314,591539
2014-02,90,615250
2014-02,318,591264
2014-02,178,591269
2014-02,320,1065041
2014-03,17889,591445
2014-03,2255,591447
2014-03,5956,591295
2014-03,6838,591293
2014-03,2232,591451
2014-03,711,591449
2014-03,1722,591440
2014-03,2848,591297
2014-03,2250,591438
2014-03,949,615248
2014-03,397,591436
2014-03,2216,591300
2014-03,3230,591434
2014-03,635,615250
2014-03,433,591432
2014-03,2642,591359
2014-03,21523,591454
2014-03,4363,591302
2014-03,24146,591456
2014-03,2484,591269
2014-03,16100,591280
2014-03,204,591498
2014-03,12,591495
2014-03,430,591487
2014-03,667,591541
2014-03,4902,591282
2014-03,115,591484
2014-03,1310,591476
2014-03,528,591473
2014-03,1931,591267
2014-03,5379,591284
